[2025-05-06T09:54:10.614Z] 開始資料庫更新流程
[2025-05-06T09:54:10.629Z] 開始ATMovies 場次爬蟲...
[2025-05-06T09:59:38.827Z] ATMovies 場次爬蟲警告: /Users/jonaswhite/CascadeProjects/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-05-06 17:55:10,324 - INFO - 確認電影院名稱: 國賓林口昕境廣場
2025-05-06 17:55:10,325 - INFO - 在 國賓林口昕境廣場 - 今天 找到 38 個場次
2025-05-06 17:55:10,326 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e10/a02/20250507/
2025-05-06 17:55:17,761 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e12/a02/20250507/
2025-05-06 17:55:17,761 - INFO - 等待 3 秒後重試...
2025-05-06 17:55:18,761 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02d05/a02/20250507/
2025-05-06 17:55:18,761 - INFO - 等待 6 秒後重試...
2025-05-06 17:55:18,762 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02c01/a02/20250507/
2025-05-06 17:55:18,762 - INFO - 等待 6 秒後重試...
2025-05-06 17:55:19,760 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e09/a02/20250507/
2025-05-06 17:55:19,761 - INFO - 等待 3 秒後重試...
2025-05-06 17:55:20,774 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e10/a02/20250507/
2025-05-06 17:55:20,775 - INFO - 等待 3 秒後重試...
2025-05-06 17:55:20,775 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e12/a02/20250507/
2025-05-06 17:55:22,766 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e09/a02/20250507/
2025-05-06 17:55:23,776 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e10/a02/20250507/
2025-05-06 17:55:24,763 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d05/a02/20250507/
2025-05-06 17:55:24,764 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02c01/a02/20250507/
2025-05-06 17:55:31,762 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e12/a02/20250507/
2025-05-06 17:55:31,763 - INFO - 等待 6 秒後重試...
2025-05-06 17:55:33,761 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e09/a02/20250507/
2025-05-06 17:55:33,762 - INFO - 等待 6 秒後重試...
2025-05-06 17:55:34,760 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e10/a02/20250507/
2025-05-06 17:55:34,761 - INFO - 等待 6 秒後重試...
2025-05-06 17:55:35,762 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02c01/a02/20250507/
2025-05-06 17:55:35,762 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02c01/a02/20250507/
2025-05-06 17:55:35,763 - ERROR - 無法獲取場次資訊: 百老匯影城公館店 - 明天
2025-05-06 17:55:35,763 - INFO - 由於 百老匯影城公館店 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:55:35,763 - INFO - 完成電影院 百老匯影城公館店 的資料收集
2025-05-06 17:55:35,763 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02d05/a02/20250507/
2025-05-06 17:55:35,763 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02d05/a02/20250507/
2025-05-06 17:55:35,764 - ERROR - 無法獲取場次資訊: 美麗華大直 - 明天
2025-05-06 17:55:35,764 - INFO - 由於 美麗華大直 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:55:35,764 - INFO - 完成電影院 美麗華大直 的資料收集
2025-05-06 17:55:35,764 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e13/a02/
2025-05-06 17:55:35,766 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e15/a02/
2025-05-06 17:55:35,928 - INFO - 確認電影院名稱: 樹林秀泰影城
2025-05-06 17:55:35,930 - INFO - 在 樹林秀泰影城 - 今天 找到 58 個場次
2025-05-06 17:55:35,930 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e13/a02/20250507/
2025-05-06 17:55:35,976 - INFO - 確認電影院名稱: 土城秀泰影城
2025-05-06 17:55:35,978 - INFO - 在 土城秀泰影城 - 今天 找到 39 個場次
2025-05-06 17:55:35,978 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e15/a02/20250507/
2025-05-06 17:55:37,764 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e12/a02/20250507/
2025-05-06 17:55:39,763 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e09/a02/20250507/
2025-05-06 17:55:40,762 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e10/a02/20250507/
2025-05-06 17:55:46,762 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e15/a02/20250507/
2025-05-06 17:55:46,763 - INFO - 等待 3 秒後重試...
2025-05-06 17:55:46,764 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e13/a02/20250507/
2025-05-06 17:55:46,764 - INFO - 等待 3 秒後重試...
2025-05-06 17:55:48,762 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e12/a02/20250507/
2025-05-06 17:55:48,762 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02e12/a02/20250507/
2025-05-06 17:55:48,762 - ERROR - 無法獲取場次資訊: 林口三井OUTLET威秀影城 - 明天
2025-05-06 17:55:48,762 - INFO - 由於 林口三井OUTLET威秀影城 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:55:48,763 - INFO - 完成電影院 林口三井OUTLET威秀影城 的資料收集
2025-05-06 17:55:48,763 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e19/a02/
2025-05-06 17:55:49,320 - INFO - 確認電影院名稱: 美麗新宏匯影城
2025-05-06 17:55:49,324 - INFO - 在 美麗新宏匯影城 - 今天 找到 54 個場次
2025-05-06 17:55:49,324 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e19/a02/20250507/
2025-05-06 17:55:49,765 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e15/a02/20250507/
2025-05-06 17:55:49,766 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e13/a02/20250507/
2025-05-06 17:55:50,760 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e09/a02/20250507/
2025-05-06 17:55:50,760 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02e09/a02/20250507/
2025-05-06 17:55:50,761 - ERROR - 無法獲取場次資訊: 板橋秀泰影城 - 明天
2025-05-06 17:55:50,761 - INFO - 由於 板橋秀泰影城 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:55:50,761 - INFO - 完成電影院 板橋秀泰影城 的資料收集
2025-05-06 17:55:50,761 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e21/a02/
2025-05-06 17:55:51,760 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e10/a02/20250507/
2025-05-06 17:55:51,761 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02e10/a02/20250507/
2025-05-06 17:55:51,761 - ERROR - 無法獲取場次資訊: 國賓林口昕境廣場 - 明天
2025-05-06 17:55:51,761 - INFO - 由於 國賓林口昕境廣場 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:55:51,761 - INFO - 完成電影院 國賓林口昕境廣場 的資料收集
2025-05-06 17:55:51,761 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e08/a02/
2025-05-06 17:55:54,484 - INFO - 確認電影院名稱: 新店裕隆城威秀影城
2025-05-06 17:55:54,487 - INFO - 在 新店裕隆城威秀影城 - 今天 找到 71 個場次
2025-05-06 17:55:54,487 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e21/a02/20250507/
2025-05-06 17:55:54,902 - INFO - 確認電影院名稱: 府中15
2025-05-06 17:55:54,903 - INFO - 在 府中15 - 今天 找到 0 個場次
2025-05-06 17:55:54,904 - INFO - 由於 府中15 在 今天 沒有場次資料，跳過 明天 的資料收集
2025-05-06 17:55:54,904 - INFO - 由於 府中15 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:55:54,904 - INFO - 完成電影院 府中15 的資料收集
2025-05-06 17:55:54,904 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02f05/a02/
2025-05-06 17:55:56,487 - INFO - 確認電影院名稱: 景美佳佳戲院
2025-05-06 17:55:56,488 - INFO - 在 景美佳佳戲院 - 今天 找到 15 個場次
2025-05-06 17:55:56,488 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02f05/a02/20250507/
2025-05-06 17:55:56,927 - INFO - 確認電影院名稱: 景美佳佳戲院
2025-05-06 17:55:56,928 - INFO - 在 景美佳佳戲院 - 明天 找到 0 個場次
2025-05-06 17:55:56,928 - INFO - 由於 景美佳佳戲院 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:55:56,928 - INFO - 完成電影院 景美佳佳戲院 的資料收集
2025-05-06 17:55:56,928 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a11/a02/
2025-05-06 17:55:57,042 - INFO - 確認電影院名稱: MUVIE CINEMAS台北松仁威秀
2025-05-06 17:55:57,044 - INFO - 在 MUVIE CINEMAS台北松仁威秀 - 今天 找到 41 個場次
2025-05-06 17:55:57,044 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a11/a02/20250507/
2025-05-06 17:55:59,762 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e19/a02/20250507/
2025-05-06 17:55:59,763 - INFO - 等待 3 秒後重試...
2025-05-06 17:56:00,761 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e13/a02/20250507/
2025-05-06 17:56:00,761 - INFO - 等待 6 秒後重試...
2025-05-06 17:56:00,761 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e15/a02/20250507/
2025-05-06 17:56:00,761 - INFO - 等待 6 秒後重試...
2025-05-06 17:56:02,764 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e19/a02/20250507/
2025-05-06 17:56:04,761 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e21/a02/20250507/
2025-05-06 17:56:04,762 - INFO - 等待 3 秒後重試...
2025-05-06 17:56:06,769 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e13/a02/20250507/
2025-05-06 17:56:06,772 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e15/a02/20250507/
2025-05-06 17:56:07,761 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02a11/a02/20250507/
2025-05-06 17:56:07,761 - INFO - 等待 3 秒後重試...
2025-05-06 17:56:07,762 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02e21/a02/20250507/
2025-05-06 17:56:10,761 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a11/a02/20250507/
2025-05-06 17:56:13,762 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e19/a02/20250507/
2025-05-06 17:56:13,762 - INFO - 等待 6 秒後重試...
2025-05-06 17:56:17,762 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02e13/a02/20250507/
2025-05-06 17:56:17,762 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02e13/a02/20250507/
2025-05-06 17:56:17,762 - ERROR - 無法獲取場次資訊: 樹林秀泰影城 - 明天
