[2025-05-06T06:50:22.776Z] 開始資料庫更新流程
[2025-05-06T06:50:22.782Z] 開始ATMovies 場次爬蟲...
[2025-05-06T07:05:10.686Z] ATMovies 場次爬蟲警告: /Users/jonaswhite/CascadeProjects/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-05-06 14:55:15,473 - INFO - 在 台北西門威秀影城 - 今天 找到 53 個場次
2025-05-06 14:55:16,478 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b08/a02/20250507/
2025-05-06 14:55:24,504 - INFO - 確認電影院名稱: 台北西門威秀影城
2025-05-06 14:55:24,507 - INFO - 在 台北西門威秀影城 - 明天 找到 53 個場次
2025-05-06 14:55:25,513 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b08/a02/20250508/
2025-05-06 14:55:28,425 - INFO - 確認電影院名稱: 台北西門威秀影城
2025-05-06 14:55:28,427 - INFO - 在 台北西門威秀影城 - 後天 找到 52 個場次
2025-05-06 14:55:29,433 - INFO - 完成電影院 台北西門威秀影城 的資料收集
2025-05-06 14:55:29,433 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b16/a02/
2025-05-06 14:55:29,537 - INFO - 確認電影院名稱: 光點華山電影館
2025-05-06 14:55:29,538 - INFO - 在 光點華山電影館 - 今天 找到 0 個場次
2025-05-06 14:55:30,542 - INFO - 由於 光點華山電影館 在 今天 沒有場次資料，跳過 明天 的資料收集
2025-05-06 14:55:30,542 - INFO - 由於 光點華山電影館 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 14:55:30,542 - INFO - 完成電影院 光點華山電影館 的資料收集
2025-05-06 14:55:30,542 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02c01/a02/
2025-05-06 14:55:30,659 - INFO - 確認電影院名稱: 百老匯影城公館店
2025-05-06 14:55:30,661 - INFO - 在 百老匯影城公館店 - 今天 找到 61 個場次
2025-05-06 14:55:31,666 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02c01/a02/20250507/
2025-05-06 14:55:34,134 - INFO - 確認電影院名稱: 百老匯影城公館店
2025-05-06 14:55:34,136 - INFO - 在 百老匯影城公館店 - 明天 找到 59 個場次
2025-05-06 14:55:35,141 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02c01/a02/20250508/
2025-05-06 14:55:37,922 - INFO - 確認電影院名稱: 百老匯影城公館店
2025-05-06 14:55:37,924 - INFO - 在 百老匯影城公館店 - 後天 找到 61 個場次
2025-05-06 14:55:38,925 - INFO - 完成電影院 百老匯影城公館店 的資料收集
2025-05-06 14:55:38,926 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d05/a02/
2025-05-06 14:55:39,055 - INFO - 確認電影院名稱: 美麗華大直
2025-05-06 14:55:39,058 - INFO - 在 美麗華大直 - 今天 找到 62 個場次
2025-05-06 14:55:40,063 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d05/a02/20250507/
2025-05-06 14:55:44,711 - INFO - 確認電影院名稱: 美麗華大直
2025-05-06 14:55:44,715 - INFO - 在 美麗華大直 - 明天 找到 62 個場次
2025-05-06 14:55:45,716 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d05/a02/20250508/
2025-05-06 14:55:55,732 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02d05/a02/20250508/
2025-05-06 14:55:55,733 - INFO - 等待 3 秒後重試...
2025-05-06 14:55:58,738 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d05/a02/20250508/
2025-05-06 14:56:11,942 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02d05/a02/20250508/
2025-05-06 14:56:11,944 - INFO - 等待 6 秒後重試...
2025-05-06 14:56:17,949 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d05/a02/20250508/
2025-05-06 14:56:28,029 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02d05/a02/20250508/
2025-05-06 14:56:28,031 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02d05/a02/20250508/
2025-05-06 14:56:28,031 - ERROR - 無法獲取場次資訊: 美麗華大直 - 後天
2025-05-06 14:56:29,032 - INFO - 完成電影院 美麗華大直 的資料收集
2025-05-06 14:56:29,032 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d04/a02/
2025-05-06 14:56:35,340 - INFO - 確認電影院名稱: 台北天母新光影城
2025-05-06 14:56:35,343 - INFO - 在 台北天母新光影城 - 今天 找到 39 個場次
2025-05-06 14:56:36,348 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d04/a02/20250507/
2025-05-06 14:56:46,367 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02d04/a02/20250507/
2025-05-06 14:56:46,368 - INFO - 等待 3 秒後重試...
2025-05-06 14:56:49,370 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d04/a02/20250507/
2025-05-06 14:56:59,442 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02d04/a02/20250507/
2025-05-06 14:56:59,444 - INFO - 等待 6 秒後重試...
2025-05-06 14:57:05,446 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d04/a02/20250507/
2025-05-06 14:57:17,161 - INFO - 確認電影院名稱: 台北天母新光影城
